Date,Open,High,Low,Close,Volume,Adj Close
4/11/2008,1940.930176,1940.930176,1940.930176,1940.930176,339033,1940.930176
4/14/2008,NA,NA,NA,NA,NA,NA
4/15/2008,NA,NA,NA,NA,NA,NA
4/16/2008,1912.175659,1912.175659,1912.175659,1912.175659,778272,1912.175659
4/17/2008,1883.421143,1926.552856,1926.552856,1926.552856,11172813,1926.552856
4/18/2008,1940.930176,1897.79834,1897.79834,1897.79834,4853108,1897.79834
4/21/2008,1869.043823,1869.043823,1869.043823,1869.043823,1636213,1869.043823
4/22/2008,1840.289307,1840.289307,1840.289307,1840.289307,1878271,1840.289307
4/23/2008,1811.53479,1811.53479,1811.53479,1811.53479,1354191,1811.53479
4/24/2008,1782.780273,1782.780273,1782.780273,1782.780273,4832247,1782.780273
4/25/2008,1754.025757,1754.025757,1754.025757,1754.025757,7906533,1754.025757
4/28/2008,1782.780273,1782.780273,1782.780273,1782.780273,5923905,1782.780273
4/29/2008,1811.53479,1811.53479,1811.53479,1811.53479,8254659,1811.53479
4/30/2008,NA,NA,NA,NA,NA,NA
5/1/2008,NA,NA,NA,NA,NA,NA
5/2/2008,NA,NA,NA,NA,NA,NA
5/5/2008,1840.289307,1840.289307,1840.289307,1840.289307,7903756,1840.289307
5/6/2008,1869.043823,1869.043823,1869.043823,1869.043823,10938777,1869.043823
5/7/2008,1854.666626,1869.043823,1869.043823,1869.043823,13098425,1869.043823
5/8/2008,1840.289307,1840.289307,1840.289307,1840.289307,5381710,1840.289307
5/9/2008,1811.53479,1811.53479,1811.53479,1811.53479,782460,1811.53479
5/12/2008,1782.780273,1782.780273,1782.780273,1782.780273,911125,1782.780273
5/13/2008,1754.025757,1754.025757,1754.025757,1754.025757,26736,1754.025757
5/14/2008,1725.27124,1725.27124,1725.27124,1725.27124,3067999,1725.27124
5/15/2008,1696.516724,1696.516724,1696.516724,1696.516724,333121,1696.516724
5/16/2008,1667.762207,1667.762207,1667.762207,1667.762207,13808911,1667.762207
5/19/2008,1639.00769,1639.00769,1639.00769,1639.00769,7220724,1639.00769
5/20/2008,1610.253174,1610.253174,1610.253174,1610.253174,296977,1610.253174
5/21/2008,1581.498657,1581.498657,1581.498657,1581.498657,3603571,1581.498657
5/22/2008,1552.744141,1552.744141,1552.744141,1552.744141,2408979,1552.744141
5/23/2008,1523.989624,1523.989624,1523.989624,1523.989624,7030854,1523.989624
5/26/2008,1495.235107,1495.235107,1495.235107,1495.235107,322704,1495.235107
5/27/2008,NA,NA,NA,NA,NA,NA
5/28/2008,NA,NA,NA,NA,NA,NA
5/29/2008,NA,NA,NA,NA,NA,NA
5/30/2008,1466.480591,1466.480591,1466.480591,1466.480591,190538,1466.480591
6/2/2008,1437.726074,1437.726074,1437.726074,1437.726074,76482,1437.726074
