Date,Open,High,Low,Close,Volume
12/14/2007,2587.906982,2616.661377,2616.661377,2616.661377,2825957
12/17/2007,2616.661377,2587.906982,2587.906982,2587.906982,3033217
12/18/2007,2587.906982,2659.793213,2659.793213,2659.793213,3622350
12/19/2007,2731.679443,2789.188477,2789.188477,2789.188477,7559115
12/20/2007,2789.188477,2702.925049,2702.925049,2702.925049,3652588
12/21/2007,2659.793213,2702.925049,2702.925049,2702.925049,3969065
12/24/2007,2746.056641,2731.679443,2731.679443,2731.679443,5804961
12/25/2007,2731.679443,2702.925049,2702.925049,2702.925049,3806653
12/26/2007,2616.661377,2702.925049,2702.925049,2702.925049,5483607
12/27/2007,2702.925049,2702.925049,2702.925049,2702.925049,2994273
12/28/2007,2702.925049,2731.679443,2731.679443,2731.679443,2837086
12/31/2007,NA,NA,NA,NA,NA
1/1/2008,NA,NA,NA,NA,NA
1/2/2008,2731.679443,2746.056641,2746.056641,2746.056641,6077253
1/3/2008,2774.811279,2760.434082,2760.434082,2760.434082,5995178
1/4/2008,2789.188477,2789.188477,2789.188477,2789.188477,7693705
1/7/2008,2817.943115,2832.320313,2832.320313,2832.320313,15101592
1/8/2008,2832.320313,2961.715576,2961.715576,2961.715576,12677631
1/9/2008,2961.715576,3105.488281,3105.488281,3105.488281,20725062
1/10/2008,3076.733643,3076.733643,3076.733643,3076.733643,16559094
1/11/2008,3047.979248,3047.979248,3047.979248,3047.979248,16260712
1/14/2008,3076.733643,3047.979248,3047.979248,3047.979248,9844313
1/15/2008,2990.470215,2904.206543,2904.206543,2904.206543,10652532
1/16/2008,2961.715576,3019.224609,3019.224609,3019.224609,15370774
1/17/2008,2990.470215,2875.452148,2875.452148,2875.452148,5523271
1/18/2008,2817.943115,2932.961182,2932.961182,2932.961182,4909455
1/21/2008,2904.206543,2875.452148,2875.452148,2875.452148,2470538
1/22/2008,2789.188477,2789.188477,2789.188477,2789.188477,2895502
1/23/2008,2760.434082,2659.793213,2659.793213,2659.793213,4162420
1/24/2008,2760.434082,2674.17041,2674.17041,2674.17041,3308296
1/25/2008,2659.793213,2674.17041,2674.17041,2674.17041,2874282
1/28/2008,2731.679443,2688.547607,2688.547607,2688.547607,1426520
1/29/2008,2702.925049,2746.056641,2746.056641,2746.056641,4173230
1/30/2008,2875.452148,2875.452148,2875.452148,2875.452148,12613644
1/31/2008,2731.679443,2817.943115,2817.943115,2817.943115,2864196
2/1/2008,2904.206543,2904.206543,2904.206543,2904.206543,6690381
2/4/2008,NA,NA,NA,NA,NA
2/5/2008,NA,NA,NA,NA,NA
2/6/2008,NA,NA,NA,NA,NA
2/7/2008,NA,NA,NA,NA,NA
2/8/2008,NA,NA,NA,NA,NA
2/11/2008,NA,NA,NA,NA,NA
2/12/2008,2932.961182,2875.452148,2875.452148,2875.452148,3643900
2/13/2008,2846.69751,2789.188477,2789.188477,2789.188477,5240883
2/14/2008,2789.188477,2803.565674,2803.565674,2803.565674,3570881
2/15/2008,2789.188477,2789.188477,2789.188477,2789.188477,6410417
2/18/2008,2659.793213,2674.17041,2674.17041,2674.17041,7268390
2/19/2008,2616.661377,2659.793213,2659.793213,2659.793213,3001565
2/20/2008,2659.793213,2530.397949,2530.397949,2530.397949,3205373
2/21/2008,2415.379639,2415.379639,2415.379639,2415.379639,2170053
2/22/2008,2300.361572,2329.116211,2329.116211,2329.116211,8110692
2/25/2008,2415.379639,2444.134277,2444.134277,2444.134277,8051568
2/26/2008,2444.134277,2357.870605,2357.870605,2357.870605,8713032
